Project Name,City,State,Utility,System Size (kW),Year of Interconnection,Co-located Projects,Ciy Lat,City Long
PVREA Headquarters Solar Array,Fort Collins,CO,Poudre Valley Rural Electric Association,116.09,2012,,39.798,-105.232
Riverside Community Solar Array - Fort Collins Utilities Solar Array 1,Fort Collins,CO,Fort Collins Utilities,620.675,2015,,40.582984,-105.064171
PVREA Solar Array 2,Fort Collins,CO,Poudre Valley Rural Electric Association,631.82,2015,,39.79,-105.23
Low income Array,Fort Collins,CO,Fort Collins Utilities,64,2016,,40.62,-105.08
PVEA Community Solar Garden,Fort Collins,CO,Poudre Valley Rural Electric Association,2000,2017,,39.550538,-107.324776
14228 County Road 42 Gilcrest 80623 WELD,Gilcrest,CO,Xcel Energy,1999.5,,,39.2465755,-106.2953621
,Glenwood Springs,CO,City of Glenwood Springs,20,,,39.5505,-107.3248
Jefferson County 2,Golden,CO,Xcel Energy,569.17,2014,Jeffco Community Solar Arrays,39.1,-108.51
Jefferson County 1,Golden,CO,Xcel Energy,115.15,2014,Jeffco Community Solar Arrays,39.06,-108.5
Jefferson County Community Solar,Golden,CO,Xcel Energy,1500,2016,,39.06,-108.5
Grand Valley Power Solar Garden,Grand Junction,CO,Grand Valley Power,20.68,2011,Grand Valley Power Community Solar,40.002929,-105.1092292
Ecoplexus - Mesa,Grand Junction,CO,Xcel Energy,1999.8,2014,,37.115004,-107.633113
Grand Valley Power-Solar Farm,Grand Junction,CO,Grand Valley Power,24,2015,Grand Valley Power Community Solar,40.002929,-105.1092292
30953 County Road 27 Greeley 80631 WELD,Greeley,CO,Xcel Energy,1999.5,,,39.97,-105.13
County Road 316,Ignacio,CO,La Plata Electric Association,200,2014,,39.97,-105.16
13727 US 285 La Jara 81140 CONEJOS,La Jara,CO,Xcel Energy,1988.1,2015,,38.51,-107.92
Community Energy Solar,Lafayette,CO,Xcel Energy,498.3,2013,Lafayette Community Energy Solar,38.51,-107.92
Community Energy Solar,Lafayette,CO,Xcel Energy,498.3,2013,Lafayette Community Energy Solar,38.51,-107.91
Lake County Community Solar Array,Leadville,CO,Xcel Energy,499.895,2015,,39.18,-106.34
2500 Plaza Dr Littleton 80129 DOUGLAS,Littleton,CO,Xcel Energy,99.6,2015,,37.939766,-103.636272
Demo 3,Louisville,CO,,1000,,,39.524936,-107.73828
The Community Solar Array Program,Montrose,CO,Delta-Montrose Electric Association,10,2011,,40.484977,-106.831716
Read Facility,Montrose,CO,Delta-Montrose Electric Association,10,2011,,37.72,-105.85
Delta Montrose Electric Association Solar Garden,Montrose,CO,Delta-Montrose Electric Association,150,2016,,39.541534,-107.7794841
Alamogordo Substation Solar Garden,Otero,CO,Otero County Electric Cooperative,75,2014,,40.6227405,-103.1797541
Black Hills Energy Otero 1,Otero,CO,Black Hills Energy,486,,,37.937494,-107.812285
15990 CR 29 Platteville 80651 WELD,Patteville,CO,Xcel Energy,1984.5,,,39.68,-104.61
Black Hills Energy pueblo 2,Pueblo,CO,Black Hills Energy,124,2014,,39.68,-104.61
Garfield County Airport Solar Array,Rifle,CO,Holy Cross Energy,858,2011,,39.68,-104.61
ANTONITO COMMUNITY SOLAR,San Luis Valley,CO,Xcel Energy,500,2014,,39.78,-104.58
Yampa Valley Solar Garden,Steamboat Springs,CO,Yampa Valley Electric Association,125,2016,,38.92,-77.01
Ecoplexus - Logan,Sterling,CO,Xcel Energy,1999.8,2013,,38.95,-77.02
12010 HWY 61 Sterling 80751 LOGAN,Sterling,CO,Xcel Energy,1988.1,,,38.92,-77.01
San Miguel Power Association Solar Garden,Telluride,CO,San Miguel Power Association,200,2016,,38.89,-77
SunShare - Arapahoe Solar Garden,Watkins,CO,Xcel Energy,1499.4,2013,SunShare - Arapahoe Solar Garden,30.438256,-84.280733
Adams Imboden Solar Garden,Watkins,CO,Xcel Energy,1496.1,2014,SunShare - Imboden Solar Garden,25.011519,-80.52
5260 Imboden Rd. Watkins 80137 ADAMS,Watkins,CO,Xcel Energy,1988.1,2015,,39.6787855,-75.75854831
5135 Imboden Road Watkins 80137 ADAMS,Watkins,CO,Xcel Energy,1999.5,2015,SunShare - Imboden Solar Garden,39.6787855,-75.75854831
5900 Hudson Road Watkins 80137 ADAMS,Watkins,CO,Xcel Energy,1999.5,2015,,39.6787855,-75.75854831
SunShare - Arapahoe Solar Garden,Watkins,CO,Xcel Energy,499.3,2015,SunShare - Arapahoe Solar Garden,38.96,-77.01
33850 E 38th Ave Watkins 80137 ADAMS,Watkins,CO,Xcel Energy,1984.5,2015,,38.94,-77.04
 37055 E. County Road 30 Watkins 80136 ARAPAHOE,Watkins,CO,Xcel Energy,1999.5,2015,Quincy Solar Garden,38.94,-77.02
33975 E. 48th Ave. Watkins 80137 ADAMS,Watkins,CO,Xcel Energy,1999.5,2015,SunShare - Imboden Solar Garden,38.94,-77.02
SunShare - Arapahoe Solar Garden,Watkins,CO,Xcel Energy,497.2,2015,SunShare - Arapahoe Solar Garden,38.93,-77.04
SunShare - Arapahoe Solar Garden,Watkins,CO,Xcel Energy,497.2,2015,SunShare - Arapahoe Solar Garden,38.92,-77.01
5035 Imboden Road Watkins 80137 ADAMS,Watkins,CO,Xcel Energy,100,2015,,28.481129,-81.44929512
Bloomingdale Project 2,Washington,DC,Pepco,,2017,,43.371491,-92.11516802
Northwest Project 1,Washington,DC,Pepco,,2017,,43.371491,-92.11516802
Petworth Project 1,Washington,DC,Pepco,,2017,,43.371491,-92.11516802
Mount Pleasant Solar,Washington,DC,Pepco,,2017,,42.534899,-92.445316
Ivy City,Washington,DC,Pepco,33.7,2017,,42.0080665,-95.35343187
Petworth Project 2,Washington,DC,Pepco,,2017,,41.4859475,-91.70103653
Meridian Hill Project,Washington,DC,Pepco,,2017,,33.78,-83.72
Capitol Hill,Washington,DC,Pepco,,2017,,31.797482,-81.43073314
Manor Park,Washington,DC,Pepco,,2017,,31.797482,-81.43073314
Brightwood Park,Washington,DC,Pepco,10.08,2017,,31.53937,-82.462356
Bloomingdale Project 1,Washington,DC,Pepco,,2017,,25.01,-80.52
Atlantic Tarrace Apartments,Washington,DC,Pepco,651,2018,,43.371491,-92.11516802
City of Newark Community Solar Program,Newark,DE,City of Newark Delaware,229.5,2014,,39.66,-75.66
Seminole Cooperative Solar,Bowling Green,FL,Seminole Electric Cooperative,2200,2016,,27.6355405,-81.82424098
Gardenia Facility,Orlando,FL,Orlando Utilities Commission,400,2013,,43.3810235,-92.92046011
Kenneth P. Ksionek Community Solar Farm,Orlando,FL,Orlando Utilities Commission,13000,2017,,43.3810235,-92.92046011
Tallahassee Solar,Tallahassee,FL,City of Tallahassee Utility,20000,2018,,42.187439,-92.46587711
Crawl Key Array,Tavernier,FL,Florida Keys Electric Cooperative,21,2008,Simple Solar Program,48.203112,-116.565559
Marathon Array,Tavernier,FL,Florida Keys Electric Cooperative,96.6,2008,Simple Solar Program,42.3164725,-90.21969035
Cooperative Solar Program,Alma,GA,Satilla REMC,1000,2017,,41.157269,-85.488313
Renewables Solar Farm,Athens,GA,Georgia Power,2000,2017,,33.9519,-83.3576
Azalea Solar Farm,Davisboro,GA,Cobb EMC,12106.92,2013,,32.5848,-82.3533
Oursolar Program,Eatonton,GA,Tri-County EMC,1000,2016,,33.325608,-83.38869791
HazleHurst 20,HazleHurst,GA,Green Power EMC,28000,2016,,31.8609515,-82.60258802
Coastal Electric Community Solar,Midway,GA,Coastal Electric Cooperative,48,2015,,40.1883315,-86.90224139
Cooperative Solar,Monroe,GA,Walton EMC,1000,2015,,39.3805875,-101.0465146
Prairie lakes Solar ,Cedar Falls,IA,Cedar Falls Utilities,2358.491,2016,,38.060845,-97.929774
Renewable Rays,Cresco ,IA,Hawkeye REC,24.75,,,43.37,-92.1
Prairie Winds Alternative Energy Program,Denison,IA,Western Iowa Power Cooperative,307.5,2015,,37.293913,-99.599567
Willemssen Substation,Galt,IA,Prairie Energy,139.44,,,42.6931,-93.6056
Midland Community Solar,Iowa Falls,IA,Midland Power Cooperative,235.849,2017,,42.627837,-73.11841254
Eagle Point 2 Sunstation,Kalona,IA,Farmers Electric Cooperative,51.5,2011,,42.4167945,-71.1705527
Prairie Winds Alternative Energy Program,Onawa,IA,Western Iowa Power Cooperative,270,2015,,42.019094,-96.08809212
Sterler Solar Park,Sibley,IA,Osceola Electric Cooperative,229.6,2016,,41.747186,-70.06797595
Heartland Power Cooperative Community Solar,St. Ansgar,IA,Heartland Power Cooperative,852,2014,,43.37,-92.91
Traer Community Solar,Traer,IA,Traer Municipal Utilities,40,2013,,42.187439,-92.46587711
Northern Lights Community Solar,Sagle,ID,Northern Lights Inc,50,2017,,48.2031,-116.5656
South View Solar Farm,Elizabeth,IL,Jo-Carroll Energy,126.5,2015,,42.3164725,-90.21969035
Scott County Solar Plant,Winchester,IL,Illinois Rural Electric Cooperative,500,2014,,39.6309695,-90.45723082
Northeastern REMC Community Solar,Columbia City,IN,Northeastern REMC,50.4,2015,,41.160738,-85.48421628
Tipmont Community Solar,Linden,IN,Tipmont REMC,100,2014,,40.1883315,-86.90224139
Willow Branch Solar Farm,Willow Branch,IN,NineStar Connect,100,2015,,0,0
Midwest Community Solar Array 1,Colby,KS,"Midwest Energy, Inc",1572.327,2015,,41.883436,-70.762538
BPU Solar Community,Kansas City,KS,BPU,1000,2017,,39.1230125,-94.75683813
Westar Community Solar,South Hutchinson,KS,Westar Energy,1200,2017,,38.0242225,-97.93819157
Berea Solar Farm Phase 1 & 2,Berea,KY,Berea Utilities,28.2,2012,Berea Solar Farm,42.717031,-73.092685
Berea Solar Farm Phase 3 & 4,Berea,KY,Berea Utilities,31.5,2014,Berea Solar Farm,42.717031,-73.092685
Cooperative Solar Farm One,Winchester,KY,East Kentucky Power Cooperative,8500,2017,,38.0025735,-84.19559894
Adams Community Array 1,Adams,MA,National Grid,1384.32,2015,,42.043366,-71.927603
Arlington Church Project,Arlington,MA,Eversource,19.8,2016,,42.4167945,-71.1705527
Belechertown Solar,Belchertown,MA,National Grid,1266.35,2016,,42.272433,-72.39453784
Bolton 2,Bolton,MA,National Grid,2794.995,2016,,41.637604,-70.903649
The Lofts at Westinghouse,Boston,MA,Eversource,211.896,2016,,41.637604,-70.903649
Bourne Community Solar 1,Bourne,MA,Eversource,1300,2015,,42.583423,-71.802296
Brewster Community Solar Garden Cooperative,Brewster,MA,Eversource,345.6,2012,,41.747186,-70.06797595
Long Pond Road,Brewster,MA,Eversource,73.2,2016,,41.747186,-70.06797595
"Cambridge Community Housing, Inc",Cambridge,MA,Eversource,26.4,2015,,42.440719,-72.799399
Cornerstone Village CoHousing,Cambridge,MA,Eversource,45.453,2015,,42.440719,-72.799399
Pemberton Place Condiminium Associated Energy,Cambridge,MA,Eversource,30.35,2017,,41.764752,-71.00999721
Canton Solar 2,Canton,MA,Eversource,526.68,2017,,42.207039,-71.685624
Carver Community Solar (CEC Solar #1043),Carver,MA,Eversource,2694,2016,,42.341757,-72.588422
Charlton 48,Charlton,MA,National Grid,3081.33,2017,,42.366002,-72.577947
Clarksburg Community Solar,Clarksburg,MA,National Grid,1316.7,2017,,42.543138,-73.323718
BWC Buckmaster Pond LLC,Dover,MA,Eversource,1419.84,2017,,42.241612,-71.28413355
Dudley Solar 1,Dudley,MA,National Grid,472.32,2017,Dudley Solar Array,42.4997805,-71.58513504
Dudley Solar 2,Dudley,MA,National Grid,645.12,2017,Dudley Solar Array,42.4997805,-71.58513504
Dudley Solar 3,Dudley,MA,National Grid,645.12,2017,Dudley Solar Array,42.4997805,-71.58513504
Dudley Solar 4,Dudley,MA,National Grid,645.12,2017,Dudley Solar Array,42.4997805,-71.58513504
Farley Road Solar,Dudley,MA,National Grid,1297.89,2017,,42.200097,-71.424505
BWC Tinkham,Fairhaven,MA,Eversource,1095.85,2016,,41.631612,-70.87544162
279 Mill Road,Fairhaven,MA,Eversource,2378.88,2017,,41.631612,-70.87544162
Fitchburg Solar,Fitchburg,MA,Unitil,696.96,2017,,42.5906605,-71.81616452
27 Locust Street Solar,Freetown,MA,Eversource,1113.21,2015,,41.764752,-71.00999721
Lazy A Solar,Freetown,MA,Eversource,63,2017,,41.764752,-71.00999721
"Ngrid Rayo Goshen A, CEC Solar #1052",Goshen,MA,National Grid,1185.6,2017,,41.993275,-70.728478
,Grafton,MA,National Grid,3700,2017,,42.2072475,-71.6840613
WMECO Solar Array 1 Huntington,Hadley,MA,Eversource,996.6,2014,Allard's Farm Community Solar,41.7176715,-70.77771632
Allard's Farm Community Solar Project (Hadley 2),Hadley,MA,Eversource,2411.955,2016,Allard's Farm Community Solar,41.75,-70.78
Brodie Mtn Road Solar,Hancock,MA,National Grid,2258.96,2015,,42.5273435,-73.32166379
Hardwick Solar 1,Hardwick,MA,National Grid,646.38,2017,,42.35592,-72.21056268
Hardwick Solar 2,Hardwick,MA,National Grid,649.085,2017,,42.104245,-72.318952
Harvard Solar Garden II,Harvard,MA,National Grid,54.71,2014,Harvard Solar Garden,42.4997805,-71.58513504
Harvard Solar Garden I,Harvard,MA,National Grid,500,2014,Harvard Solar Garden,42.4997805,-71.58513504
Hatfield Renewables,Hatfield,MA,Eversource,2465.28,2017,,42.316758,-72.125911
Holliston Field 2,Holliston,MA,Eversource,343.2,2015,,42.700915,-73.108715
Holliston B CEC #1144,Holliston,MA,Eversource,1382.4,2016,,42.700915,-73.108715
Mt. Tom Solar,Holyoke,MA,Holyoke Gas and Electric,5764.68,2017,,42.700915,-73.108715
BWC Origination 19,Hopedale,MA,National Grid,1389.96,2017,,42.1287905,-71.54080676
,Hopkington,MA,,280,2017,,42.2287,-71.5226
Gardner Road Solar 1,Hubbardston,MA,National Grid,1298.08,2017,Gardner Road Solar,42.116761,-71.864758
Gardner Road Solar 2,Hubbardston,MA,National Grid,1359.36,2017,Gardner Road Solar,42.116761,-71.864758
Kingston CEC Solar #1041,Kingston,MA,Eversource,899.84,2017,,41.9782245,-70.74281675
Kingston 1 CEC Solar #1040,Kingston,MA,Eversource,1118.72,2017,,41.9782245,-70.74281675
Sippican Community Solar Garden,Marion,MA,Eversource,912,2015,,41.7176715,-70.77771632
Nstar Stellar Marion A,Marion,MA,Eversource,1187.63,2016,,41.7176715,-70.77771632
Brownell Boat Works,Mattapoisett,MA,Eversource,80.64,2016,,41.667024,-70.80776543
BWC Mystic River,Mendon,MA,National Grid,1389.96,2017,,42.103169,-71.5600845
Millbury 19,Millbury,MA,National Grid,681.39,2017,,42.1917585,-71.76678624
Monson Solar,Monson,MA,National Grid,2597.76,2017,,42.0956485,-72.32426967
New Braintree Solar,New Braintree,MA,National Grid,657,2017,,42.548699,-72.132858
Newbury Solar,Newbury,MA,National Grid,2409.75,2017,,42.7734585,-70.87315991
North Adams A,North Adams,MA,National Grid,1316.7,2017,,42.6826755,-73.11471024
North Adams B,North Adams,MA,National Grid,1316.7,2017,,42.6826755,-73.11471024
Norton Development,Norton,MA,National Grid,1400.58,2017,,41.961105,-71.1904626
"Ngrid SS Orange A, CEC Solar #1062",Orange,MA,National Grid,1064.7,2017,,41.955895,-70.814843
BWC Stillwater Four,Oxford,MA,National Grid,622.275,2016,Barrett Street Project,42.382588,-71.96570632
BWC Stillwater One,Oxford,MA,National Grid,698.64,2016,Barrett Street Project,42.382588,-71.96570632
BWC Stillwater Three,Oxford,MA,National Grid,1413.965,2016,Barrett Street Project,42.382588,-71.96570632
BWC Stillwater Two,Oxford,MA,National Grid,1414.32,2016,Barrett Street Project,42.382588,-71.96570632
BWC Clara Barton,Oxford,MA,National Grid,1445.86,2016,,42.382588,-71.96570632
BWC French River One,Oxford,MA,National Grid,2668,2016,Barrett Street Project,42.382588,-71.96570632
BWC French River Three,Oxford,MA,National Grid,2788.8,2016,Barrett Street Project,42.382588,-71.96570632
BWC French River Five,Oxford,MA,National Grid,1414.32,2016,Barrett Street Project,41.9705735,-70.80777226
BWC French River Four,Oxford,MA,National Grid,2762.4,2016,Barrett Street Project,41.955895,-70.814843
BWC French River Two,Oxford,MA,National Grid,2665.495,2016,Barrett Street Project,41.843529,-71.24722821
Tully Farms,Pepperell,MA,National Grid,1344.135,2016,,42.664759,-71.59568478
CEC Solar #1033,Phillipston,MA,National Grid,1316.7,2017,,42.553845,-72.14731092
zp-67,Phillipston,MA,National Grid,1411.2,2017,,42.553845,-72.14731092
Lot 59-2,Plymouth,MA,Eversource,1232.91,2017,,41.8731315,-70.61827194
Cedarville-Callahan,Plymouth,MA,Eversource,1390.04,2017,,41.8731315,-70.61827194
CEC Solar #1082,Plympton,MA,Eversource,1335.15,2016,,41.9705735,-70.80777226
BWC Bluefish River,Plympton,MA,Eversource,1371.5,2016,,41.9705735,-70.80777226
Lake Street Project,Plympton,MA,Eversource,1371,2017,,41.9705735,-70.80777226
Plympton Solar Project,Plympton,MA,Eversource,1390.04,2017,,41.9705735,-70.80777226
Spring Street Solar,Plympton,MA,Eversource,2530.8,2017,,41.9705735,-70.80777226
Fitz Plumpton,Plympton,MA,Eversource,1320,,,41.9705735,-70.80777226
Ngrid SE Solar Array 1 Rehoboth,Rehoboth,MA,National Grid,996.6,2014,,41.843529,-71.24722821
Meadowatt LLC,Rochester,MA,Eversource,410.8,2017,,41.755118,-70.8357229
Rochester,Rochester,MA,Eversource,1060.2,2017,,41.755118,-70.8357229
Pleasantdale Road Solar,Rutland,MA,National Grid,1268.01,2017,,42.382588,-71.96570632
Rutland Solar,Rutland,MA,National Grid,1295.91,2017,,42.150035,-71.763288
NRG Freeman Solar 2,Sandwich,MA,Eversource,1033.2,2017,,41.7065405,-70.47792444
Barkus,Shirley,MA,National Grid,1082.88,2017,,42.5792995,-71.6400696
Sturbridge 73,Southbridge,MA,National Grid,1234.8,2017,,42.0751,-72.0334
SJA-3,Spencer,MA,National Grid,516.78,2016,Spencer Community Solar Farm,42.246452,-71.99151627
SJA-4,Spencer,MA,National Grid,825.66,2016,Spencer Community Solar Farm,42.246452,-71.99151627
SJA-9,Spencer,MA,National Grid,1842.75,2016,Spencer Community Solar Farm,42.246452,-71.99151627
SJA-1,Spencer,MA,National Grid,1342.44,2016,Spencer Community Solar Farm,42.04,-71.61
SJA-2,Spencer,MA,National Grid,2791.8,2016,Spencer Community Solar Farm,42.02,-71.59
SJA-10,Spencer,MA,National Grid,2410.2,2016,Spencer Community Solar Farm,42.01,-71.58
SJA-6,Spencer,MA,National Grid,1199.25,2016,Spencer Community Solar Farm,41.78,-70.71
SJA-7,Spencer,MA,National Grid,2796.3,2016,Spencer Community Solar Farm,41.78,-70.71
SJA-8,Spencer,MA,National Grid,2796.3,2016,Spencer Community Solar Farm,41.78,-70.71
Community First,Sterling,MA,Sterling Municipal Light Department,1572.327,2018,,42.4393245,-71.76973281
BWC Hobbs Brook,Sturbridge,MA,National Grid,1159.2,2017,,42.202439,-72.20772265
BWC George Vinton,Sturbridge,MA,National Grid,1285.2,2017,,42.202439,-72.20772265
Sutton Community Solar,Sutton,MA,National Grid,2543.625,2016,,42.136714,-71.76218707
"Ngrid Kleiman Sutton A, CEC Solar #1054",Sutton,MA,National Grid,1256.85,2017,,42.136714,-71.76218707
CEC Solar #1098,Swansea,MA,National Grid,1388.52,2017,,42.018989,-71.007821
Upton Solar 1,Upton,MA,National Grid,1254.87,2017,Upton Solar Project,41.62,-71.04
Upton Solar 2,Upton,MA,National Grid,1287.72,2017,Upton Solar Project,41.62,-71.04
Ngrid Uxbridge 1 - CEC Solar #1045,Uxbridge,MA,National Grid,1012.6,2016,,39.12,-77.23
"Ngrid Uxbridge 2, CEC Solar #1050",Uxbridge,MA,National Grid,1266.825,2016,,39.12,-77.23
"Ngrid Uxbridge 3, CEC Solar #1051",Uxbridge,MA,National Grid,600.075,2016,,38.9938965,-76.88291104
"Uxbridge (CEC Solar #1048, LLC)",Uxbridge,MA,National Grid,1316.7,2017,,39.12,-77.23
Wareham,Wareham,MA,Eversource,1385.7,2016,,44.035567,-69.48769558
Tihonet East Solar,Wareham,MA,Eversource,2694,2016,,43.971638,-69.61767014
Associated Energy Developers,Wareham,MA,Eversource,598.5,2017,,41.7586795,-70.68480347
Wareham Community Solar Array,Wareham,MA,Eversource,2694,,,44.3761085,-68.26098099
Nextsun Wareham 2,Wareham,MA,Eversource,1389.42,,,43.890021,-69.996926
70 Ware Road Solar,Warren,MA,National Grid,1339.2,2015,,44.241407,-70.48733659
87 Spring Street Solar,Warren,MA,National Grid,1328.04,2015,,43.68442,-70.29187479
Warren Landfill,Warren,MA,National Grid,1341.9,2017,,43.87189,-70.08994
WBMLP Solar,West Boylston,MA,West Boylston Municipal Light Plant,2062.08,2016,,43.705747,-70.283554
West Bridgewater Community Solar,West Bridgewater,MA,National Grid,2208.46,2017,,44.1271745,-69.14071868
Nstar Sustain Westport A - CEC Solar #1108,Westport,MA,Eversource,1827.9,2016,Cuff Slocum Community Solar Farm,44.40908,-69.5306
Nstar Sustain Westport B - CEC Solar #1109,Westport,MA,Eversource,1624.8,2016,Cuff Slocum Community Solar Farm,44.323148,-70.059193
Ngrid Rayo Williamsburg A,Williamsburg,MA,National Grid,1316.7,2017,,44.04187,-69.67549
Ballardvale RMLD,Wilmington,MA,Reading Municipal Light Department,1333.76,2017,,42.9903205,-85.95308061
Greenbelt Community Solar,Greenbelt,MD,Pepco,22,2011,,44.251953,-85.401162
Bar Harbor Community Solar Farm,Bar Harbor,ME,Elmera  Maine,50,2016,,44.6619145,-85.68649821
Resource Conservation SolarFarm,Brunswick,ME,Central Maine Power Company,80.6,2016,,42.291707,-85.587229
Biscay Pond Project 1,Damariscotta,ME,Central Maine Power Company,,2017,,42.8687845,-84.90130679
Edgecomb Community Solar Farm,Edgecomb,ME,Central Maine Power Company,46.9,2015,,45.83,-95.29
Maine Idyll Motor Court Community Solar Farm,Freeport,ME,Central Maine Power Company,89.44,2016,,46.352673,-94.202008
Higgins Corner Community Solar Farm,Lisbon,ME,Central Maine Power Company,53,2016,,44.0247385,-70.08914743
Unitarian Universalist Church Allen Avenue,Portland,ME,Central Maine Power Company,20,2016,,44.673954,-93.098729
Ocean Ave. Landfill,Portland,ME,Central Maine Power Company,920,2016,,44.4288535,-93.20591832
Holmes St Community Solar Farm,Rockland,ME,Central Maine Power Company,80.6,2016,,44.556125,-94.20928355
3 Level Farm Community Solar,South China,ME,Central Maine Power Company,200,2016,,44.772,-94.155
Sunnycroft Farm Community Solar Farm,South Paris,ME,Central Maine Power Company,51,2014,,45.47,-94.4
Sky Ranch Community Solar Farm,Wayne,ME,Central Maine Power Company,49.6,2016,,44.04,-92.69
Morris Farm Community Solar,Wiscasset,ME,Central Maine Power Company,47.12,2016,,44.106717,-94.21733322
Solar Gardens Program - Grand Valley State University,Allendale,MI,Consumers Energy,3000,2016,,44.2301135,-95.27016544
Spartan Solar,Cadillac,MI,Wolverine Power Cooperative,1457.92,2017,,47.65,-90.68
Detroit Lakes Community Solar,Detroit Lakes,MI,City of Detroit Lakes Utilities,29.3,2017,,45.035241,-93.582459
Community Solar Park,East Lansing,MI,Lansing Board of Water and Light,300,2017,,45.135318,-94.515054
Solar Up North Community Solar Project,Grawn,MI,Cherryland Electric Cooperative,56,2014,,44.66,-85.69
